저작물명,앨범명,아티스트명,대리중개사명,제작사명
Anpanman,LOVE YOURSELF 轉 `Tear`,방탄소년단,IRIVER,빅히트 엔터테인먼트
Magic Shop,LOVE YOURSELF 轉 `Tear`,방탄소년단,IRIVER,빅히트 엔터테인먼트
Love Maze,LOVE YOURSELF 轉 `Tear`,방탄소년단,IRIVER,빅히트 엔터테인먼트
낙원,LOVE YOURSELF 轉 `Tear`,방탄소년단,IRIVER,빅히트 엔터테인먼트
134340,LOVE YOURSELF 轉 `Tear`,방탄소년단,IRIVER,빅히트 엔터테인먼트
전하지 못한 진심 (Feat. Steve Aoki),LOVE YOURSELF 轉 `Tear`,방탄소년단,IRIVER,빅히트 엔터테인먼트
FAKE LOVE,LOVE YOURSELF 轉 `Tear`,방탄소년단,IRIVER,빅히트 엔터테인먼트
우리 서로,우리 서로,김나영,로엔엔터테인먼트,네버랜드엔터테인먼트
너란 별,The 4th Album Part.2. #1 Will be a start,케이윌 (K.Will),로엔엔터테인먼트,스타쉽엔터테인먼트
그대들은 어떤 기분이신가요,제련해도,빈첸 (VINXEN),로엔엔터테인먼트,로맨틱팩토리
SINKING DOWN WITH U,제련해도,빈첸 (VINXEN),로엔엔터테인먼트,로맨틱팩토리
무슨 말이 필요해 (Go Away),YONG JUN HYUNG 1ST ALBUM `GOODBYE 20`s`,용준형,로엔엔터테인먼트,어라운드 어스
LATATA,I am,(여자)아이들,로엔엔터테인먼트,큐브엔터테인먼트
우리 둘만 아는,우리 둘만 아는,윤건,지니뮤직,센토엔터테인먼트
뒤집어버려,뒤집어버려,"박재범,사이먼 도미닉,로꼬,그레이(GRAY)",로엔엔터테인먼트,AOMG
빛나리,Positive,펜타곤 (PENTAGON),로엔엔터테인먼트,큐브엔터테인먼트
"My Paradise (Feat. 청하, VINXEN)",My Paradise,GroovyRoom (그루비룸),로엔엔터테인먼트,H1GHR MUSIC
잊을만하면,잊을만하면,크러쉬 (CRUSH),Stone Music Entertainment,아메바컬쳐
밤 (Time for the moon night),여자친구 The 6th Mini Album `Time for the moon night`,여자친구 (GFRIEND),로엔엔터테인먼트,쏘스뮤직
별 시 (別 時),별 시 (別 時),박효신,Stone Music Entertainment,글러브엔터테인먼트
"Graduation (Feat. 이병재 (VINXEN), 이로한 (WEBSTER B))",고등래퍼2 Winner,김하온 (HAON),CJ E&M,Stone Music Entertainment
달리 (Dally) (Feat. GRAY),달리 (Dally),효린,NHN벅스,브리지
"별, 그대 (The Only Star)",Be Myself,황치열,NHN벅스,How엔터테인먼트
그날의 너,Lovelyz 4th Mini Album 治癒 (치유),러블리즈,로엔엔터테인먼트,울림 엔터테인먼트
욕심,욕심,멜로망스(MeloMance),로엔엔터테인먼트,"민트페이퍼, 광합성"
어른,나의 아저씨 OST Part 2,Sondia,CJ E&M,Stone Music Entertainment
"YAHO (Feat. 지구인, 행주) (Prod. Jangsoo, Padi)",고등래퍼2 Final,윤진영 (Clloud),CJ E&M,Stone Music Entertainment
부를게,NEW MOON,JBJ,로엔엔터테인먼트,"STONE MUSIC ENTERTAINMENT, 로엔엔터테인먼트, 페이브엔터테인먼트"
주지마,건반 위의 하이에나 Part.4,"로꼬, 화사",로엔엔터테인먼트,한국방송공사
#결별,#결별,"길구봉구, 박보람",로엔엔터테인먼트,문엔터테인먼트
향 (Scentist),EAU DE VIXX,빅스 (VIXX),CJ E&M,젤리피쉬 엔터테인먼트
EASY (Feat. 식케이),magnolia,휘인,로엔엔터테인먼트,RBW
휴일 (Lazy),Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시),IRIVER,SM Entertainment
Thursday,Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시),IRIVER,SM Entertainment
솔직히 (Honestly…),Honestly,에릭남,CJ E&M,"Stone Music Entertainment, B2M Entertainment"
Vroom Vroom,Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시),IRIVER,SM Entertainment
Monday Blues,Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시),IRIVER,SM Entertainment
너에게 꽃이다,너에게 꽃이다,40 (포티),로엔엔터테인먼트,"리메즈, 40 Company"
내일 만나 (Sweet Dreams!),Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시),IRIVER,SM Entertainment
Why Why Why,라이브 OST Part.4,펀치 (Punch),로엔엔터테인먼트,냠냠엔터테인먼트
"이로한 (Feat. ELO, Jessi) (Prod. Padi)",고등래퍼2 Final,배연서 (WEBSTER B),CJ E&M,Stone Music Entertainment
Playdate,Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시),IRIVER,SM Entertainment
전혀 (Feat. 우원재) (Prod. GroovyRoom),고등래퍼2 Final,이병재 (Vinxen),CJ E&M,Stone Music Entertainment
Stand By Your Man,French Touch,Carla Bruni,Universal Music,Universal Music
Trivia 起 : Just Dance,LOVE YOURSELF 結 `Answer`,방탄소년단,IRIVER,빅히트 엔터테인먼트
Epiphany,LOVE YOURSELF 結 `Answer`,방탄소년단,IRIVER,빅히트 엔터테인먼트
Answer : Love Myself,LOVE YOURSELF 結 `Answer`,방탄소년단,IRIVER,빅히트 엔터테인먼트
I`m Fine,LOVE YOURSELF 結 `Answer`,방탄소년단,IRIVER,빅히트 엔터테인먼트
Rumor,PRODUCE 48 - 30 Girls 6 Concepts,국.슈 (국프의 핫이슈),Stone Music Entertainment,Stone Music Entertainment
Euphoria,LOVE YOURSELF 結 `Answer`,방탄소년단,IRIVER,빅히트 엔터테인먼트
IDOL,LOVE YOURSELF 結 `Answer`,방탄소년단,IRIVER,빅히트 엔터테인먼트
매트리스,4.1,10cm,로엔엔터테인먼트,매직스트로베리사운드
BAE,BAE,효린,NHN벅스,브리지
Attention,Attention,Charlie Puth,Warner Music,Artist Partners
이방인,미스터 션샤인 OST Part 8,박원,Stone Music Entertainment,"Stone Music Entertainment, 화앤담픽쳐스"
A-TEEN,A-TEEN Part 3,세븐틴,로엔엔터테인먼트,PLAYLIST
한(一),한(一),(여자)아이들,로엔엔터테인먼트,큐브엔터테인먼트
Mosquito,Summer Magic - Summer Mini Album,레드벨벳(Red Velvet),IRIVER,SM Entertainment
Hit That Drum,Summer Magic - Summer Mini Album,레드벨벳(Red Velvet),IRIVER,SM Entertainment
Mr. E,Summer Magic - Summer Mini Album,레드벨벳(Red Velvet),IRIVER,SM Entertainment
Page 0,Page 0,"태연 (TAEYEON), 멜로망스(Melomance)",IRIVER,SM Entertainment
Blue Lemonade,Summer Magic - Summer Mini Album,레드벨벳(Red Velvet),IRIVER,SM Entertainment
휴가,휴가,폴킴,로엔엔터테인먼트,"뉴런뮤직, 로엔엔터테인먼트"
태양 (Feat. 챈슬러),태양,개리 (Gary),로엔엔터테인먼트,YANGBANS NATION
좋은 날,미스터 션샤인 OST Part 5,멜로망스(MeloMance),Stone Music Entertainment,"Stone Music Entertainment, 화앤담픽쳐스"
한 여름의 크리스마스 (With You),Summer Magic - Summer Mini Album,레드벨벳(Red Velvet),IRIVER,SM Entertainment
Power Up,Summer Magic - Summer Mini Album,레드벨벳(Red Velvet),IRIVER,SM Entertainment
flex (Prod. By 기리보이),Dingo X Indigo Music,"기리보이,Kid Milli,NO:EL,스윙스(Swings)",로엔엔터테인먼트,"인디고뮤직, 딩고뮤직"
소리,미스터 션샤인 OST Part 4,이수현,Stone Music Entertainment,"Stone Music Entertainment, 화앤담픽쳐스"
비가 내리면,비가 내리면,비투비-블루,로엔엔터테인먼트,큐브엔터테인먼트
죽겠다 (KILLING ME),NEW KIDS : CONTINUE,iKON,지니뮤직,YG Entertainment
SoulMate (Feat. 아이유),SoulMate,지코 (ZICO),Sony Music,세븐시즌스
여보세요,여보세요,뉴이스트 (NU`EST),로엔엔터테인먼트,플레디스
"20 Something (PROD. 정동환, 정세운)",ANOTHER,정세운,로엔엔터테인먼트,스타쉽엔터테인먼트
WHERE R U FROM (Feat. MINO),THE GREAT SEUNGRI,승리,지니뮤직,YG Entertainment
바다보러갈래 (SEE SEA),바다보러갈래 (SEE SEA),효린,NHN벅스,브리지
Me No Jay Park,Me No Jay Park,사이먼 도미닉 (Simon Dominic),로엔엔터테인먼트,AOMG
나에게로 와,5TH MINI ALBUM `YOU MAKE MY DAY`,세븐틴,로엔엔터테인먼트,플레디스
여름밤의 꿈 (Midnight Summer Dream),RED MOON,마마무 (Mamamoo),로엔엔터테인먼트,RBW
우리의 새벽은 낮보다 뜨겁다,5TH MINI ALBUM `YOU MAKE MY DAY`,세븐틴,로엔엔터테인먼트,플레디스
Holiday,5TH MINI ALBUM `YOU MAKE MY DAY`,세븐틴,로엔엔터테인먼트,플레디스
6 o`clock,Red Diary `Hidden Track`,볼빨간 사춘기,로엔엔터테인먼트,쇼파르뮤직
"셋 셀테니 (1, 2, 3!)",THE GREAT SEUNGRI,승리,지니뮤직,YG Entertainment
여름여름해 (Sunny Summer),Summer Mini Album `Sunny Summer`,여자친구 (GFRIEND),로엔엔터테인먼트,쏘스뮤직
어쩌나,5TH MINI ALBUM `YOU MAKE MY DAY`,세븐틴,로엔엔터테인먼트,플레디스
Love U,Blooming Blue,청하,Stone Music Entertainment,MNH Entertainment
너나 해 (Egotistic),RED MOON,마마무 (Mamamoo),로엔엔터테인먼트,RBW
그해 여름,그해 여름,"양다일, 웬디 (WENDY)",로엔엔터테인먼트,브랜뉴뮤직
Chandelier,Chandelier,Sia,Sony Music,Sony Music
Cereal (Feat. ZICO),wonderlost,크러쉬 (CRUSH),Stone Music Entertainment,아메바컬쳐
CHILLAX,Summer Nights,TWICE,IRIVER,JYP Entertainment
지각,Group,장덕철,로엔엔터테인먼트,리메즈
마치 우린 없었던 사이 (Prod. 정키),마치 우린 없었던 사이 (Prod. 정키),다비치,Stone Music Entertainment,Stone Music Entertainment
그 날 (Original Ver.),미스터 션샤인 OST Part 1,박효신,Stone Music Entertainment,"글러브엔터테인먼트, Stone Music Entertainment, 화앤담픽쳐스"
Way Back Home,Take,숀 (SHAUN),Warner Music,디씨톰엔터테인먼트
장마,장마,마마무 (Mamamoo),로엔엔터테인먼트,RBW
동화,The Fairy Tale,멜로망스 (MeloMance),로엔엔터테인먼트,"민트페이퍼, 광합성"
1도 없어,ONE & SIX,에이핑크 (Apink),로엔엔터테인먼트,플랜에이 엔터테인먼트
Dance The Night Away,Summer Nights,TWICE,IRIVER,JYP Entertainment
Lock You Down (Special Track),`The Story of Light` EP.3 - The 6th Album,샤이니 (SHINee),IRIVER,SM Entertainment
Shadow,"WHO, YOU",뉴이스트 W,Stone Music Entertainment,플레디스
중력달 (Gravity&Moon),"WHO, YOU",뉴이스트 W,Stone Music Entertainment,플레디스
ylenoL,"WHO, YOU",뉴이스트 W,Stone Music Entertainment,플레디스
Signal,"WHO, YOU",뉴이스트 W,Stone Music Entertainment,플레디스
그대만 보여서,김비서가 왜 그럴까 OST Part.5,김나영,로엔엔터테인먼트,본팩토리
북극성 (Polaris),"WHO, YOU",뉴이스트 W,Stone Music Entertainment,플레디스
네가 남겨둔 말 (Our Page),`The Story of Light` EP.3 - The 6th Album,샤이니 (SHINee),IRIVER,SM Entertainment
BAAM,Fun to The World,모모랜드 (MOMOLAND),로엔엔터테인먼트,"엠엘디엔터테인먼트,로엔엔터테인먼트"
Dejavu,"WHO, YOU",뉴이스트 W,Stone Music Entertainment,플레디스
"1, 2, 3",THIS IS US,"서은광, 이창섭, 임현식, 육성재",로엔엔터테인먼트,큐브엔터테인먼트
정진철,DARKROOM : roommates only,사이먼 도미닉 (Simon Dominic),로엔엔터테인먼트,AOMG
Yeah,THIS IS US,비투비 (BTOB),로엔엔터테인먼트,큐브엔터테인먼트
길에서,리플리 Vol.1,양요섭,로엔엔터테인먼트,PLAYLIST
Circus,Something New - The 3rd Mini Album,태연 (TAEYEON),IRIVER,SM Entertainment
귀가본능 (Feat. JINBO the superfreak),DARKROOM : roommates only,사이먼 도미닉 (Simon Dominic),로엔엔터테인먼트,AOMG
불행 (Feat. 빈첸 (VINXEN)),불행,오반 (OVAN),로엔엔터테인먼트,로맨틱팩토리
Call me,THIS IS US,비투비 (BTOB),로엔엔터테인먼트,큐브엔터테인먼트
저녁의 이유 (All Night Long) (Feat. LUCAS of NCT),Something New - The 3rd Mini Album,태연 (TAEYEON),IRIVER,SM Entertainment
Blue Moon,THIS IS US,비투비 (BTOB),로엔엔터테인먼트,큐브엔터테인먼트
Something New,Something New - The 3rd Mini Album,태연 (TAEYEON),IRIVER,SM Entertainment
너 없인 안 된다,THIS IS US,비투비 (BTOB),로엔엔터테인먼트,큐브엔터테인먼트
LOVE,너도 인간이니? OST Part 2,"린(LYn),한해",NHN벅스,오우엔터테인먼트
See U Later,SQUARE UP,BLACKPINK,지니뮤직,YG Entertainment
질투나,더 콜(The Call) 세 번째 프로젝트,"거미, 에일리",Stone Music Entertainment,Stone Music Entertainment
Really,SQUARE UP,BLACKPINK,지니뮤직,YG Entertainment
오늘은 가지마,To Love Somebody,임세준,디지탈레코드,디지탈레코드
사랑비,1집 T-Virus,김태우,로엔엔터테인먼트,폴라리스
"혼자, 한잔",戀書(연서),허각,로엔엔터테인먼트,플랜에이 엔터테인먼트
노래가 늘었어,노래가 늘었어,에일리 (Ailee),NHN벅스,YMC엔터테인먼트
비밀번호 486,고백하기 좋은 날,윤하,로엔엔터테인먼트,로엔엔터테인먼트
보여줄게,Invitation,에일리 (Ailee),로엔엔터테인먼트,YMC엔터테인먼트
Endless,소품집 (해룡이의 Sad Love Story),플라워 (Flower),오감엔터테인먼트,오감엔터테인먼트
"눈, 코, 입",RISE,태양,지니뮤직,YG Entertainment
...사랑했잖아,Can U See The Bright,린 (LYn),Stone Music Entertainment,Jinn Showbiz
그립고 그립고 그립다,그립고 그립고 그립다,케이윌 (K.will),로엔엔터테인먼트,스타쉽엔터테인먼트
취하고 싶다 (Prod. By 전태익),취하고 싶다,황인욱,뮤직파운드,678 MUSIC
그대를 사랑하는 10가지 이유,인사,이석훈,로엔엔터테인먼트,아이에스엔터미디어그룹
서울의 달,Be Like...,김건모,지니뮤직,뮤직시티미디어
애상,윤일상 작곡가 21주년 기념 앨범 I`m 21,10cm,NHN벅스,내가 네트워크
오래된 노래,Shine,스탠딩 에그(Standing Egg),Sony Music,BORN
사랑했지만,5집 Classic,김광석,Stone Music Entertainment,Stone Music Entertainment
끝사랑,7집 Solista Part 2,김범수,로엔엔터테인먼트,폴라리스
꿈에,박정현 Op.4,박정현,NHN벅스,T Entertainment
사랑했었다 (Still love you),FNC LAB `사랑했었다 (Still love you)`,"이홍기, 유회승",로엔엔터테인먼트,FNC엔터테인먼트
홍연,안예은,안예은,Sony Music,미지정
사랑합니다,First 영민,팀 (Tim),예전미디어,예전미디어
사랑의 배터리,사랑의 배터리,홍진영,다날,코어컨텐츠미디어
미인 (美人),Para Ti,이기찬,오감엔터테인먼트,소리바다(無)
그녀를 사랑해줘요,1집 Stand Alone,하동균,로엔엔터테인먼트,로엔엔터테인먼트
"범퍼카 (Feat. NO:EL, Young B)",범퍼카,한요한,로엔엔터테인먼트,린치핀뮤직
고백,보고싶었어요,정준일,미러볼뮤직,엠와이뮤직
꽃피는 봄이 오면,Soul Food,BMK,다날,신스 패밀리 엔터테인먼트
헤어지는 중입니다,소리 위를 걷다,이은미,Sony Music,Sony Music
봄봄봄,봄봄봄,로이킴,CJ E&M,CJ E&M
Officially Missing You,Officially Missing You,긱스 (Geeks),킹핀엔터테인먼트,킹핀엔터테인먼트/그랜드 라인 엔터테인먼트
서쪽 하늘,슈퍼스타K3 TOP 11 Part 5,울랄라세션,CJ E&M,CJ E&M
내가 너의 곁에 잠시 살았다는 걸,Youheeyeol,"토이 (Toy), 김연우",오감엔터테인먼트,신나라뮤직
불장난,SQUARE TWO,BLACKPINK,지니뮤직,YG Entertainment
기다릴게,공주의 남자 OST Part 3,"하동균, 이정",로엔엔터테인먼트,어치브그룹디엔
정류장,슈퍼스타K3 TOP 11 Part 3,버스커 버스커 (Busker Busker),CJ E&M,CJ E&M
기다리다,Love Drive,윤하,로엔엔터테인먼트,로엔엔터테인먼트
널 사랑하지 않아,스틸,어반 자카파 (Urban Zakapa),로엔엔터테인먼트,메이크어스엔터테인먼트
너를 위해,Story Of Two Years,임재범,다날,에이온미디어
듣는편지,듣는편지,40 (포티),루미넌트엔터테인먼트,40 Company
입술의 말,UNVEILING,엠씨더맥스 (M.C The Max),로엔엔터테인먼트,뮤직앤뉴
애인... 있어요,6집 Ma Non Tanto,이은미,Sony Music,Sony Music
이별택시,연인,김연우,노프리,TOY MUSIC
시간을 거슬러,해를 품은 달 OST Part 2,린 (LYn),한국음반산업협회,팬엔터테인먼트
남자를 몰라,Perfect,버즈 (Buzz),NHN벅스,예전미디어
캔디 (Candy),We Hate All Kinds Of Violence,H.O.T,IRIVER,SM Entertainment
첫 눈,도깨비 OST Part 8,정준일,CJ E&M,"CJ E&M,화앤담픽쳐스"
Let It Go,Frozen OST,Idina Menzel,Universal Music,Walt Disney Records
친구라도 될 걸 그랬어,Like Them,거미,CJ E&M,YG Entertainment
잠시만 안녕 (Original),M.C The Max!,엠씨더맥스 (M.C The Max),오감엔터테인먼트,You & I Entertainment
바라보기,미녀의 탄생 OST PART 4,엠씨더맥스 (M.C The Max),지니뮤직,"도너츠컬처,한울별"
감사,Thanks (감사),김동률,다날,Poibos
광화문에서 (At Gwanghwamun),The 1st Mini Album `광화문에서 (At Gwanghwamun)`,규현 (KYUHYUN),지니뮤직,SM Entertainment
1월부터 6월까지,행보 2013 윤종신,윤종신,CJ E&M,미스틱 엔터테인먼트
이미 슬픈 사랑,Wear To Healing YADA,야다 (Yada),한국음반산업협회,훈엔터테인먼트
잊지 말아요,아이리스 OST Part 1,백지영,CJ E&M,태원엔터테인먼트
나를 사랑했던 사람아,Lacrimoso,허각,CJ E&M,플랜에이 엔터테인먼트
천년의 사랑,천년지애 (千年之愛),박완규,지니뮤직,유니온캔
나비잠 (Sweet Dream),나비잠 (Sweet Dream),"희철, 민경훈",지니뮤직,SM Entertainment
"노땡큐 (Feat. MINO, 사이먼 도미닉, 더콰이엇)",WE`VE DONE SOMETHING WONDERFUL,에픽하이 (EPIK HIGH),지니뮤직,YG Entertainment
8282,Davichi In Wonderland,다비치,CJ E&M,코어컨텐츠미디어
형 (兄),4집 환골탈태 (換骨奪胎),노라조,로엔엔터테인먼트,위닝인사이트 엔터테인먼트
삭제,나방의 꿈,이승기,후크엔터테인먼트,후크엔터테인먼트
죽일 놈 (Guilty),5집 Band Of Dynamic Brothers,다이나믹 듀오 (Dynamic Duo),CJ E&M,아메바컬쳐
가족사진,오늘,김진호,Sony Music,뮤니트엔터테인먼트
사랑을 했다 (LOVE SCENARIO),Return,iKON,지니뮤직,YG Entertainment
flex (Prod. By 기리보이),Dingo X Indigo Music,"기리보이, Kid Milli, NO:EL, 스윙스 (Swings)",카카오 M,"인디고뮤직, 딩고뮤직"
"No Brainer (Feat. Justin Bieber, Chance the Rapper & Quavo)",No Brainer,DJ Khaled,Sony Music,Epic/We The Best
EX,Selfless,Kiana Lede,Universal Music,"Republic Records, a division of UMG Recordings,Inc"
#첫사랑,#첫사랑,볼빨간사춘기,카카오 M,"쇼파르뮤직, 딩고뮤직"
The Middle,The Middle,"Zedd, Grey, Maren Morris",Universal Music,Interscope Records
Idontwannabeyouanymore,Dont Smile At Me (New Final EP),Billie Eilish,Universal Music,"Darkroom, Interscope Records"
좋았을걸,슬기로운 감빵생활 OST Part 5,헤이즈 (Heize),Stone Music Entertainment,"Stone Music Entertainment, 쿵엔터테인먼트"
How Long,Voicenotes,Charlie Puth,Warner Music,Artist Partners
잘가라,잘가라,홍진영,카카오 M,뮤직K
바보에게 바보가,바보에게 바보가,지아 (Zia),카카오 M,"페이브엔터테인먼트,카카오 M"
자격지심 (Feat. 은하 of 여자친구),자격지심,박경,"지니뮤직, Stone Music Entertainment",세븐시즌스
아마도 그건,투유 프로젝트 - 슈가맨 Part 3,"크러쉬 (CRUSH), 로꼬(LOCO)",인터파크,JTBC
Despacito,Despacito,제이플라 (J.Fla),Feel Music,Feel Music
This Christmas,This Christmas  Winter is Coming,태연 (TAEYEON),Dreamus,SM Entertainment
Best Of Me,LOVE YOURSELF 承 `Her`,방탄소년단,Dreamus,빅히트 엔터테인먼트
24K Magic,24K Magic,Bruno Mars,Warner Music,Atlantic Records UK
Stay,The Middle,"Zedd, Alessia Cara",Universal Music,Interscope Records
iffy (Prod. GroovyRoom),Dingo X H1GHR MUSIC,"Sik-K (식케이), pH-1, 박재범",카카오 M,딩고뮤직
Never Be The Same,Camila,Camila Cabello,Sony Music,Syco Music/Epic
"무제(無題) (Untitled, 2014)",권지용,G-Dragon,YG PLUS,YG Entertainment
Bad,Bad,Christopher,Warner Music,Parlophone Denmark
One Kiss,One Kiss,"Calvin Harris, Dua Lipa",Sony Music,Columbia
WHERE YOU AT,"W, HERE",뉴이스트 W,Stone Music Entertainment,플레디스
Selfmade Orange (Feat. SUPERBEE),닿는 순간,창모 (CHANGMO),"지니뮤직, Stone Music Entertainment",Ambition Musik
Girls Like You (Feat. Cardi B),Red Pill Blues (Deluxe),Maroon 5,Universal Music,Interscope Records
FRIENDS,Speak Your Mind (Deluxe),"Marshmello, Anne-Marie",Warner Music,Atlantic Records UK
Black Swan,MAP OF THE SOUL : 7,방탄소년단,Dreamus,빅히트 엔터테인먼트
아무노래 ,아무노래 ,지코 (ZICO),카카오 M,KOZ 엔터테인먼트
"다시 난, 여기",사랑의 불시착 OST Part 4,백예린,지니뮤직,Stone Music Entertainment
너를 사랑하고 있어,낭만닥터 김사부 2 OST Part.1,백현 (BAEKHYUN),카카오 M,냠냠엔터테인먼트
Psycho,`The ReVe Festival` Finale,레드벨벳(Red Velvet),Dreamus,SM Entertainment
"다시는 사랑하지 않고, 이별에 아파하기 싫어","다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,카카오 M,스튜디오 오드리
Square (2017),Every letter I sent you.,백예린,Dreamus,블루바이닐
첫 겨울이니까,첫 겨울이니까,"성시경, 아이유 (IU)",카카오 M,에스케이재원
십이월 이십오일의 고백,십이월 이십오일의 고백,정승환,카카오 M,안테나뮤직
"아마두 (Feat. 우원재, 김효은, 넉살, Huckleberry P)",Dingo X DAMOIM (Part 2),"염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",Dreamus,"AOMG, 딩고뮤직, Hi-Lite Records, ILLIONAIRE RECORDS, VMC, YUMDDA"
나의 오랜 연인에게,나의 오랜 연인에게,다비치,지니뮤직,Stone Music Entertainment
헤어진 우리가 지켜야 할 것들,헤어진 우리가 지켜야 할 것들,"김나영, 양다일",카카오 M,"네버랜드엔터테인먼트, 브랜뉴뮤직"
METEOR,Boyhood,창모 (CHANGMO),"지니뮤직, Stone Music Entertainment",앰비션뮤직
빌었어,Boyhood,창모 (CHANGMO),"지니뮤직, Stone Music Entertainment",앰비션뮤직
Obsession,OBSESSION - The 6th Album,EXO,Dreamus,SM Entertainment
날 보러 와요 (Come See Me),NEW MOON,AOA,카카오 M,FNC엔터테인먼트
Blueming,Love poem,아이유 (IU),카카오 M,카카오 M
시간의 바깥,Love poem,아이유 (IU),카카오 M,카카오 M
unlucky,Love poem,아이유 (IU),카카오 M,카카오 M
그 사람,Love poem,아이유 (IU),카카오 M,카카오 M
자장가,Love poem,아이유 (IU),카카오 M,카카오 M
숨겨진 세상 (Into the Unknown End Credit Ver.) (겨울왕국 2),겨울왕국 2 (한국어 버전),태연 (TAEYEON),Universal Music,Walt Disney Records
Into the Unknown,Frozen 2 (겨울왕국 2 OST),"Idina Menzel, AURORA",Universal Music,Walt Disney Records
Show Yourself,Frozen 2 (겨울왕국 2 OST),"Idina Menzel, Evan Rachel Wood",Universal Music,Walt Disney Records
HIP,reality in BLACK,마마무 (Mamamoo),카카오 M,RBW
이 번호로 전화해줘,이 번호로 전화해줘,바이브 (Vibe),지니뮤직,메이저나인
차가워진 이 바람엔 우리가 써있어(Bad Love),차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN(박혜원),카카오 M,엔터테인먼트뉴오더
늦은 밤 너의 집 앞 골목길에서,늦은 밤 너의 집 앞 골목길에서,노을,카카오 M,씨제스엔터테인먼트
5월의 밤,5월의 밤,자이언티(Zion.T),YG PLUS,The Black Label
Love poem,Love poem,아이유 (IU),카카오 M,카카오 M
All I Want For Christmas Is You,Merry Christmas (Deluxe Anniversary Edition),Mariah Carey,Sony Music,Columbia/Legacy
이별주,이별주,황인욱,NHN벅스,How엔터테인먼트
영화 속에 나오는 주인공처럼,동백꽃 필 무렵 OST Part.6,펀치 (Punch),NHN벅스,"팬엔터테인먼트, 모스트콘텐츠"
이별은 늘 그렇게 (Duet. 정은지),이별은 늘 그렇게,허각,카카오 M,플레이엠엔터테인먼트
불티 (Spark),Purpose - The 2nd Album,태연 (TAEYEON),Dreamus,SM Entertainment
"인기 (Feat. 송가인, 챈슬러)",CHANNEL 8,MC몽,Dreamus,밀리언마켓
샤넬 (Feat. 박봄),CHANNEL 8,MC몽,Dreamus,밀리언마켓
LION,퀸덤 [FINAL 컴백 싱글],(여자)아이들,지니뮤직,Stone Music Entertainment
내 생애 가장 행복한 시간 Part.2 (Feat. 양다일),CHANNEL 8,MC몽,Dreamus,밀리언마켓
떨어지는 낙엽까지도,만추,헤이즈 (Heize),지니뮤직,"Stone Music Entertainment, Studio blu"
새 사랑,새 사랑,송하예,카카오 M,더하기미디어
있어줘요,있어줘요,장덕철,카카오 M,리메즈
허전해,"정규 2집 `마음, 하나`",폴킴,카카오 M,뉴런뮤직
이별행동,이별행동,이우,카카오 M,케이에이치컴퍼니
우리 어떻게 할까요,사랑하는 그대에게 - The 2nd Mini Album,첸 (CHEN),Dreamus,SM Entertainment
"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",THINKING Part 1,지코 (ZICO),카카오 M,KOZ 엔터테인먼트
사람,THINKING Part 1,지코 (ZICO),카카오 M,KOZ 엔터테인먼트
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",항해,악동뮤지션 (AKMU),YG PLUS,YG Entertainment
달,항해,악동뮤지션 (AKMU),YG PLUS,YG Entertainment
조금 취했어 (Prod. 2soo),조금 취했어,임재현,카카오 M,"엔에스씨컴퍼니, 디원미디어"
Feel Special,Feel Special,TWICE,Dreamus,JYP Entertainment
Memories,Memories,Maroon 5,Universal Music,222 Records/Interscope Records
가끔 이러다,가끔 이러다,펀치 (Punch),카카오 M,냠냠엔터테인먼트
워커홀릭,Two Five,볼빨간사춘기,카카오 M,쇼파르뮤직
XX,Two Five,볼빨간사춘기,카카오 M,쇼파르뮤직
25,Two Five,볼빨간사춘기,카카오 M,쇼파르뮤직
사랑이란 멜로는 없어,사랑이란 멜로는 없어,전상근,카카오 M,스튜디오 오드리
가을밤 떠난 너,Rewind,케이시 (Kassy),카카오 M,넥스타엔터테인먼트
헤어지자 (Prod. 정키),soar,휘인,카카오 M,RBW
다시 만날까 봐,다시 만날까 봐,V.O.S,카카오 M,J-SOUL COMPANY
나빠(NAPPA),나빠(NAPPA),크러쉬 (CRUSH),Dreamus,피네이션
날라리 (LALALAY),날라리 (LALALAY),선미,카카오 M,메이크어스엔터테인먼트
FLASH,비상 : QUANTUM LEAP,X1 (엑스원),"지니뮤직, Stone Music Entertainment","SWING Entertainment, Stone Music Entertainment"
벗,벗,닐로 (Nilo),Universal Music,리메즈
"담아 (Feat. 염따, pH-1) (Prod. BOYCOLD)",쇼미더머니 8 Episode 1,"스윙스(Swings), Kid Milli, 매드 클라운",지니뮤직,Stone Music Entertainment
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,멜로가 체질 OST Part 3,장범준,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스"
